id,area,date,start_time,end_time,duration_minutes,reason,voltage_level,reported_by,is_planned
1937,LB Nagar,2023-10-29,04:45,09:53,308,Weather Damage,11kV,Telangana DISCOM App,0
1938,Ameerpet,2023-09-07,11:45,15:20,215,Scheduled Maintenance,132kV,Telangana DISCOM App,1
1939,Charminar,2024-03-17,11:45,17:36,351,Grid Overload,11kV,TSECL Website,0
1940,Rajendra Nagar,2023-12-30,18:45,20:16,91,Network Expansion,11kV,Consumer Call,1
1941,Kukatpally,2023-10-21,13:15,19:30,375,Equipment Upgrade,33kV,Telangana DISCOM App,1
1942,Yapral,2023-09-30,09:00,10:55,115,Scheduled Maintenance,11kV,Social Media,1
1943,Begumpet,2023-10-10,15:15,16:12,57,Equipment Upgrade,11kV,Telangana DISCOM App,1
1944,Tarnaka,2023-12-01,16:45,21:41,296,Weather Damage,11kV,Telangana DISCOM App,0
1945,Vanasthalipuram,2023-10-19,03:30,06:12,162,Grid Overload,11kV,Consumer Call,0
1946,Vanasthalipuram,2023-09-30,19:00,22:36,216,Load Shedding,33kV,TSECL Website,0
1947,Chandanagar,2024-03-08,18:15,21:47,212,Scheduled Maintenance,132kV,Consumer Call,1
1948,Banjara Hills,2024-02-08,10:45,12:56,131,Scheduled Maintenance,33kV,TSECL Website,1
1949,Moula Ali,2023-12-14,11:00,12:20,80,Network Expansion,11kV,TSECL Website,1
1950,Alwal,2023-11-27,23:30,03:49,259,Transformer Failure,11kV,TSECL Website,0
1951,Bolarum,2024-04-05,12:00,14:01,121,Network Expansion,11kV,Telangana DISCOM App,1
1952,Habsiguda,2023-08-24,12:45,13:41,56,Network Expansion,33kV,TSECL Website,1
1953,Chandanagar,2024-02-01,18:45,02:21,456,Scheduled Maintenance,11kV,Consumer Call,1
1954,Punjagutta,2024-05-18,22:30,00:20,110,Load Shedding,132kV,TSECL Website,0
1955,Banjara Hills,2023-08-22,09:00,14:32,332,Load Shedding,132kV,TSECL Website,0
1956,Charminar,2023-11-11,11:45,19:24,459,Network Expansion,11kV,Telangana DISCOM App,1
1957,Begumpet,2023-07-27,19:30,20:20,50,Load Shedding,11kV,Social Media,0
1958,Alwal,2023-09-05,09:15,15:05,350,Network Expansion,11kV,Telangana DISCOM App,1
1959,As Rao Nagar,2023-08-15,11:45,13:13,88,Scheduled Maintenance,33kV,Consumer Call,1
1960,Quthbullapur,2024-03-12,17:30,19:05,95,Scheduled Maintenance,33kV,TSECL Website,1
1961,Uppal,2024-01-30,03:00,04:12,72,Grid Overload,33kV,Telangana DISCOM App,0
1962,Golconda,2024-05-16,05:15,06:57,102,Transformer Failure,33kV,Consumer Call,0
1963,Punjagutta,2024-04-12,11:15,16:46,331,Transformer Failure,132kV,Telangana DISCOM App,0
1964,Shamshabad,2024-03-30,16:00,20:41,281,Scheduled Maintenance,11kV,Telangana DISCOM App,1
1965,Patancheru,2024-01-24,14:00,21:32,452,Equipment Upgrade,11kV,Consumer Call,1
1966,Charminar,2024-04-12,15:30,17:38,128,Equipment Upgrade,132kV,Telangana DISCOM App,1
1967,Rajendra Nagar,2024-04-09,20:45,22:30,105,Line Fault,11kV,Telangana DISCOM App,0
1968,Serilingampally,2024-03-16,13:15,14:53,98,Network Expansion,132kV,Telangana DISCOM App,1
1969,Manikonda,2024-02-11,10:45,16:03,318,Equipment Upgrade,11kV,Telangana DISCOM App,1
1970,Gachibowli,2024-03-21,14:30,21:55,445,Network Expansion,33kV,TSECL Website,1
1971,Alwal,2024-05-08,15:30,21:19,349,Equipment Upgrade,11kV,Consumer Call,1
1972,Rajendra Nagar,2024-02-06,22:45,02:40,235,Line Fault,11kV,TSECL Website,0
1973,Chandanagar,2024-05-20,19:30,03:06,456,Scheduled Maintenance,11kV,Telangana DISCOM App,1
1974,Serilingampally,2024-04-12,20:00,21:36,96,Transformer Failure,132kV,TSECL Website,0
1975,Rajendra Nagar,2023-11-09,00:30,05:56,326,Grid Overload,132kV,Telangana DISCOM App,0
1976,Banjara Hills,2024-02-26,11:30,17:20,350,Scheduled Maintenance,11kV,Telangana DISCOM App,1
1977,Charminar,2024-02-20,05:45,11:34,349,Grid Overload,11kV,Consumer Call,0
1978,KPHB,2023-08-13,07:45,12:26,281,Transformer Failure,33kV,Telangana DISCOM App,0
1979,Punjagutta,2023-08-28,13:30,16:43,193,Equipment Upgrade,11kV,Telangana DISCOM App,1
1980,Secunderabad,2024-03-24,14:30,21:01,391,Network Expansion,33kV,Telangana DISCOM App,1
1981,Abids,2023-09-15,09:00,11:18,138,Scheduled Maintenance,11kV,TSECL Website,1
1982,Habsiguda,2024-04-10,15:45,17:27,102,Equipment Upgrade,11kV,Telangana DISCOM App,1
1983,Habsiguda,2023-11-21,05:30,07:39,129,Line Fault,11kV,Telangana DISCOM App,0
1984,As Rao Nagar,2023-12-13,12:15,14:34,139,Network Expansion,11kV,Social Media,1
1985,Himayatnagar,2024-03-21,15:45,19:30,225,Equipment Upgrade,132kV,Telangana DISCOM App,1
1986,Vanasthalipuram,2023-08-09,10:30,12:26,116,Scheduled Maintenance,11kV,TSECL Website,1
1987,Chandanagar,2023-07-01,09:45,10:20,35,Equipment Upgrade,11kV,Telangana DISCOM App,1
1988,Shamirpet,2024-03-08,10:45,12:57,132,Scheduled Maintenance,11kV,Telangana DISCOM App,1
1989,Habsiguda,2023-12-17,01:00,06:27,327,Load Shedding,11kV,TSECL Website,0
1990,Abids,2024-02-18,14:15,21:46,451,Network Expansion,11kV,Telangana DISCOM App,1
1991,KPHB,2023-11-06,18:45,22:01,196,Grid Overload,11kV,Telangana DISCOM App,0
1992,Bolarum,2023-08-18,19:15,22:58,223,Equipment Upgrade,33kV,Telangana DISCOM App,1
1993,Lingampally,2023-11-05,17:00,20:46,226,Equipment Upgrade,11kV,Consumer Call,1
1994,Boduppal,2024-02-04,07:30,11:23,233,Line Fault,33kV,Social Media,0
1995,Moula Ali,2023-10-04,17:45,22:31,286,Equipment Upgrade,11kV,Telangana DISCOM App,1
1996,Tarnaka,2023-10-13,12:30,18:19,349,Network Expansion,33kV,Telangana DISCOM App,1
1997,Shamirpet,2023-10-02,19:45,21:47,122,Scheduled Maintenance,132kV,Consumer Call,1
1998,LB Nagar,2023-09-08,20:45,21:43,58,Load Shedding,11kV,Consumer Call,0
1999,Tolichowki,2024-04-04,18:15,01:35,440,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2000,Bolarum,2023-11-02,23:15,02:04,169,Weather Damage,33kV,Telangana DISCOM App,0
2001,Himayatnagar,2023-12-25,09:45,13:53,248,Transformer Failure,132kV,TSECL Website,0
2002,Madhapur,2023-10-08,11:15,14:10,175,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2003,Nallagandla,2024-03-01,08:00,14:48,408,Scheduled Maintenance,11kV,TSECL Website,1
2004,Raidurg,2023-08-07,22:30,04:13,343,Weather Damage,33kV,Telangana DISCOM App,0
2005,Serilingampally,2024-02-28,18:45,22:41,236,Equipment Upgrade,33kV,Telangana DISCOM App,1
2006,Vanasthalipuram,2023-09-26,02:00,06:04,244,Grid Overload,11kV,Telangana DISCOM App,0
2007,Begumpet,2023-07-01,10:30,14:49,259,Equipment Upgrade,11kV,Consumer Call,1
2008,Shamshabad,2024-06-14,18:15,02:13,478,Scheduled Maintenance,11kV,Consumer Call,1
2009,Bolarum,2023-12-30,11:15,12:26,71,Scheduled Maintenance,33kV,Telangana DISCOM App,1
2010,Rajendra Nagar,2024-05-28,11:15,18:55,460,Equipment Upgrade,11kV,Consumer Call,1
2011,Khairatabad,2023-12-07,15:30,17:25,115,Grid Overload,33kV,TSECL Website,0
2012,Tarnaka,2023-08-20,08:45,16:14,449,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2013,Lingampally,2024-03-22,20:00,00:59,299,Line Fault,132kV,Telangana DISCOM App,0
2014,Golconda,2024-03-26,08:45,15:25,400,Network Expansion,33kV,Telangana DISCOM App,1
2015,Sanath Nagar,2024-03-20,20:15,01:01,286,Grid Overload,11kV,Telangana DISCOM App,0
2016,Alwal,2023-09-17,17:30,21:20,230,Network Expansion,11kV,TSECL Website,1
2017,Miyapur,2024-03-03,17:45,00:13,388,Network Expansion,11kV,TSECL Website,1
2018,Shamirpet,2024-02-19,12:30,15:04,154,Line Fault,11kV,Telangana DISCOM App,0
2019,Malkajgiri,2024-03-02,05:45,07:27,102,Load Shedding,11kV,TSECL Website,0
2020,Tolichowki,2023-11-18,19:45,22:16,151,Equipment Upgrade,11kV,Telangana DISCOM App,1
2021,Tarnaka,2024-05-04,12:45,13:35,50,Transformer Failure,11kV,TSECL Website,0
2022,Malkajgiri,2024-03-11,01:30,05:40,250,Line Fault,33kV,TSECL Website,0
2023,Moula Ali,2024-02-08,15:45,22:54,429,Equipment Upgrade,11kV,TSECL Website,1
2024,Banjara Hills,2024-06-22,14:45,19:53,308,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2025,Raidurg,2023-10-20,09:00,09:24,24,Transformer Failure,33kV,TSECL Website,0
2026,Gachibowli,2023-12-14,19:45,00:06,261,Network Expansion,33kV,TSECL Website,1
2027,Malkajgiri,2023-12-03,09:30,16:37,427,Equipment Upgrade,33kV,TSECL Website,1
2028,Gachibowli,2023-08-07,15:00,17:16,136,Scheduled Maintenance,33kV,Telangana DISCOM App,1
2029,Gandipet,2023-11-09,16:15,23:32,437,Scheduled Maintenance,33kV,Social Media,1
2030,Charminar,2024-05-09,15:30,20:04,274,Network Expansion,11kV,Telangana DISCOM App,1
2031,Sanath Nagar,2024-06-12,11:45,12:24,39,Network Expansion,11kV,TSECL Website,1
2032,Begumpet,2024-05-12,17:45,18:27,42,Equipment Upgrade,33kV,TSECL Website,1
2033,Khairatabad,2024-03-22,13:30,18:17,287,Network Expansion,33kV,Consumer Call,1
2034,Hitech City,2023-09-15,13:15,13:38,23,Transformer Failure,11kV,Consumer Call,0
2035,Gandipet,2023-09-09,14:15,19:40,325,Network Expansion,11kV,Consumer Call,1
2036,Abids,2024-03-19,08:15,11:40,205,Scheduled Maintenance,11kV,TSECL Website,1
2037,Moula Ali,2023-08-11,16:15,17:56,101,Equipment Upgrade,11kV,Telangana DISCOM App,1
2038,Jubilee Hills,2023-12-22,11:45,17:53,368,Network Expansion,11kV,TSECL Website,1
2039,Patancheru,2024-05-21,11:00,12:28,88,Transformer Failure,132kV,TSECL Website,0
2040,Chandanagar,2023-08-15,18:30,01:33,423,Scheduled Maintenance,33kV,Telangana DISCOM App,1
2041,Gachibowli,2024-04-22,18:45,23:03,258,Scheduled Maintenance,11kV,Consumer Call,1
2042,Himayatnagar,2023-08-09,18:45,20:58,133,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2043,Yapral,2023-10-28,15:00,16:00,60,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2044,Gachibowli,2023-08-18,06:00,09:03,183,Weather Damage,132kV,Consumer Call,0
2045,Alwal,2024-05-15,14:45,18:35,230,Network Expansion,11kV,TSECL Website,1
2046,Miyapur,2024-01-03,18:30,00:31,361,Network Expansion,132kV,Telangana DISCOM App,1
2047,Khairatabad,2023-11-28,11:15,11:48,33,Scheduled Maintenance,11kV,Social Media,1
2048,Boduppal,2024-04-09,16:00,20:09,249,Equipment Upgrade,33kV,Consumer Call,1
2049,Rajendra Nagar,2023-09-11,14:15,19:49,334,Grid Overload,11kV,Telangana DISCOM App,0
2050,KPHB,2024-04-17,11:00,12:24,84,Network Expansion,11kV,Telangana DISCOM App,1
2051,Dilsukhnagar,2023-07-03,02:45,04:18,93,Weather Damage,33kV,TSECL Website,0
2052,Alwal,2023-09-03,19:00,00:10,310,Transformer Failure,33kV,TSECL Website,0
2053,Bowenpally,2023-08-06,15:45,21:03,318,Grid Overload,11kV,TSECL Website,0
2054,Vanasthalipuram,2023-12-01,09:00,11:40,160,Grid Overload,11kV,TSECL Website,0
2055,Charminar,2024-04-30,02:00,02:53,53,Line Fault,33kV,Consumer Call,0
2056,Tarnaka,2023-07-18,16:30,19:17,167,Transformer Failure,132kV,Telangana DISCOM App,0
2057,Vanasthalipuram,2024-02-19,13:45,16:47,182,Scheduled Maintenance,11kV,TSECL Website,1
2058,Himayatnagar,2023-08-24,14:30,17:43,193,Grid Overload,11kV,TSECL Website,0
2059,Abids,2023-09-26,05:00,10:23,323,Line Fault,11kV,Social Media,0
2060,Zahirabad,2024-01-13,18:15,22:13,238,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2061,Jubilee Hills,2024-06-19,10:00,14:51,291,Scheduled Maintenance,11kV,TSECL Website,1
2062,Zahirabad,2024-02-17,09:15,14:48,333,Network Expansion,11kV,Telangana DISCOM App,1
2063,Abids,2024-04-20,11:00,17:44,404,Equipment Upgrade,132kV,Consumer Call,1
2064,Manikonda,2024-02-28,13:15,13:42,27,Line Fault,11kV,Telangana DISCOM App,0
2065,Lingampally,2023-08-22,01:45,02:14,29,Line Fault,11kV,Social Media,0
2066,Tarnaka,2023-11-19,22:45,04:04,319,Weather Damage,11kV,Telangana DISCOM App,0
2067,KPHB,2024-03-15,18:45,21:17,152,Network Expansion,33kV,Social Media,1
2068,Kondapur,2024-06-10,03:45,05:38,113,Line Fault,11kV,Social Media,0
2069,Gachibowli,2023-08-30,00:45,02:11,86,Line Fault,11kV,Telangana DISCOM App,0
2070,Zahirabad,2024-05-25,13:30,17:22,232,Weather Damage,11kV,Telangana DISCOM App,0
2071,Punjagutta,2024-05-07,06:15,10:45,270,Line Fault,11kV,Consumer Call,0
2072,Manikonda,2023-11-12,09:45,10:19,34,Line Fault,132kV,Consumer Call,0
2073,Jubilee Hills,2024-06-25,14:45,15:56,71,Grid Overload,11kV,Telangana DISCOM App,0
2074,Secunderabad,2024-04-10,17:45,19:16,91,Network Expansion,11kV,Telangana DISCOM App,1
2075,Golconda,2024-04-18,17:15,22:47,332,Equipment Upgrade,11kV,Consumer Call,1
2076,Nallagandla,2023-08-03,16:30,18:22,112,Load Shedding,11kV,Telangana DISCOM App,0
2077,Shamirpet,2023-12-11,17:30,22:55,325,Equipment Upgrade,33kV,Telangana DISCOM App,1
2078,Patancheru,2024-06-16,04:45,10:25,340,Weather Damage,11kV,TSECL Website,0
2079,Chandanagar,2023-09-08,00:30,04:15,225,Line Fault,11kV,TSECL Website,0
2080,Miyapur,2023-12-29,09:00,13:28,268,Network Expansion,11kV,Social Media,1
2081,Manikonda,2024-06-15,17:30,19:46,136,Scheduled Maintenance,11kV,TSECL Website,1
2082,Gandipet,2023-10-26,09:30,14:10,280,Network Expansion,11kV,TSECL Website,1
2083,Raidurg,2024-02-21,12:00,13:57,117,Load Shedding,132kV,TSECL Website,0
2084,Madhapur,2024-01-27,09:00,09:36,36,Network Expansion,11kV,Telangana DISCOM App,1
2085,Bowenpally,2024-06-07,11:00,14:42,222,Grid Overload,11kV,Consumer Call,0
2086,As Rao Nagar,2024-02-27,14:15,20:57,402,Scheduled Maintenance,11kV,TSECL Website,1
2087,Khairatabad,2023-07-16,07:00,08:02,62,Load Shedding,33kV,Telangana DISCOM App,0
2088,Khairatabad,2023-09-15,00:00,01:37,97,Grid Overload,11kV,Telangana DISCOM App,0
2089,Secunderabad,2024-05-29,11:15,13:52,157,Weather Damage,11kV,Consumer Call,0
2090,Manikonda,2023-09-25,10:30,15:48,318,Transformer Failure,33kV,TSECL Website,0
2091,Vidyanagar,2024-04-21,17:00,23:12,372,Equipment Upgrade,11kV,Telangana DISCOM App,1
2092,Malkajgiri,2024-04-17,14:30,17:33,183,Network Expansion,33kV,Telangana DISCOM App,1
2093,Gachibowli,2024-01-26,09:00,09:31,31,Load Shedding,11kV,Consumer Call,0
2094,Boduppal,2023-08-31,16:30,22:06,336,Equipment Upgrade,11kV,Social Media,1
2095,Serilingampally,2023-07-20,19:00,23:22,262,Equipment Upgrade,11kV,Telangana DISCOM App,1
2096,Chandanagar,2023-12-28,14:30,17:33,183,Weather Damage,11kV,TSECL Website,0
2097,Patancheru,2024-06-11,08:45,15:07,382,Scheduled Maintenance,11kV,TSECL Website,1
2098,Jubilee Hills,2023-07-06,12:45,17:02,257,Network Expansion,33kV,Telangana DISCOM App,1
2099,Rajendra Nagar,2024-04-16,03:45,07:29,224,Weather Damage,11kV,Consumer Call,0
2100,Vanasthalipuram,2023-08-28,12:45,19:05,380,Equipment Upgrade,33kV,Social Media,1
2101,Golconda,2023-11-23,10:00,15:30,330,Load Shedding,33kV,Telangana DISCOM App,0
2102,Begumpet,2023-07-11,00:00,00:34,34,Grid Overload,11kV,Telangana DISCOM App,0
2103,Shamirpet,2024-05-17,09:00,12:16,196,Transformer Failure,33kV,Telangana DISCOM App,0
2104,Yapral,2024-03-20,15:45,21:49,364,Network Expansion,11kV,Telangana DISCOM App,1
2105,Madhapur,2023-08-01,10:45,13:01,136,Network Expansion,11kV,Consumer Call,1
2106,Malkajgiri,2024-01-30,20:45,02:01,316,Grid Overload,33kV,Telangana DISCOM App,0
2107,LB Nagar,2023-11-27,03:15,07:37,262,Load Shedding,11kV,TSECL Website,0
2108,Bowenpally,2024-03-29,17:45,22:24,279,Network Expansion,33kV,TSECL Website,1
2109,Lingampally,2024-06-07,18:15,00:57,402,Network Expansion,33kV,TSECL Website,1
2110,Shamirpet,2023-08-26,13:30,19:37,367,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2111,Uppal,2023-10-14,13:00,15:18,138,Network Expansion,11kV,TSECL Website,1
2112,Gandipet,2023-09-21,09:45,16:47,422,Scheduled Maintenance,11kV,TSECL Website,1
2113,Yapral,2023-09-21,00:15,03:40,205,Grid Overload,33kV,Telangana DISCOM App,0
2114,Uppal,2024-06-08,08:45,14:43,358,Grid Overload,11kV,Telangana DISCOM App,0
2115,Shamirpet,2023-08-11,10:30,14:54,264,Network Expansion,33kV,Consumer Call,1
2116,Alwal,2023-10-01,17:15,18:59,104,Transformer Failure,11kV,Telangana DISCOM App,0
2117,Chandanagar,2024-03-31,18:30,01:59,449,Equipment Upgrade,132kV,Consumer Call,1
2118,Kothapet,2023-07-16,09:45,17:35,470,Equipment Upgrade,132kV,TSECL Website,1
2119,Quthbullapur,2024-01-18,22:45,00:52,127,Line Fault,11kV,Telangana DISCOM App,0
2120,Kondapur,2024-03-04,17:00,18:24,84,Scheduled Maintenance,33kV,TSECL Website,1
2121,Shamirpet,2024-03-19,16:45,21:12,267,Equipment Upgrade,33kV,Consumer Call,1
2122,Zahirabad,2024-02-21,09:45,13:55,250,Scheduled Maintenance,11kV,Social Media,1
2123,Manikonda,2024-04-25,14:30,21:05,395,Network Expansion,11kV,Telangana DISCOM App,1
2124,Yapral,2024-03-13,19:30,01:51,381,Scheduled Maintenance,11kV,TSECL Website,1
2125,Bolarum,2023-08-07,19:30,21:58,148,Scheduled Maintenance,132kV,Telangana DISCOM App,1
2126,Shamirpet,2023-12-16,09:45,12:26,161,Network Expansion,33kV,Telangana DISCOM App,1
2127,Vanasthalipuram,2023-07-09,17:45,22:39,294,Scheduled Maintenance,11kV,TSECL Website,1
2128,Miyapur,2023-08-09,09:45,12:08,143,Equipment Upgrade,11kV,Consumer Call,1
2129,Boduppal,2023-11-03,20:30,22:57,147,Load Shedding,11kV,TSECL Website,0
2130,Vidyanagar,2024-04-27,17:00,19:02,122,Line Fault,11kV,Consumer Call,0
2131,Patancheru,2024-05-26,14:15,15:54,99,Equipment Upgrade,33kV,TSECL Website,1
2132,Nampally,2024-03-16,05:45,08:45,180,Weather Damage,11kV,Telangana DISCOM App,0
2133,Moula Ali,2024-04-13,12:15,18:40,385,Network Expansion,11kV,TSECL Website,1
2134,Jubilee Hills,2023-08-24,09:15,15:01,346,Load Shedding,11kV,Telangana DISCOM App,0
2135,Jubilee Hills,2024-02-23,13:00,16:33,213,Equipment Upgrade,33kV,Telangana DISCOM App,1
2136,Yapral,2023-10-17,05:30,10:13,283,Line Fault,132kV,TSECL Website,0
2137,Tolichowki,2024-05-02,13:30,19:39,369,Network Expansion,11kV,Telangana DISCOM App,1
2138,Abids,2024-03-04,14:30,18:37,247,Line Fault,33kV,Social Media,0
2139,Patancheru,2023-08-12,08:00,15:43,463,Scheduled Maintenance,33kV,TSECL Website,1
2140,Malkajgiri,2024-03-06,12:15,17:42,327,Transformer Failure,11kV,Consumer Call,0
2141,LB Nagar,2024-06-04,09:45,15:45,360,Line Fault,11kV,Telangana DISCOM App,0
2142,Tolichowki,2023-07-24,15:30,18:31,181,Grid Overload,11kV,TSECL Website,0
2143,Secunderabad,2023-09-15,10:15,15:51,336,Equipment Upgrade,11kV,Telangana DISCOM App,1
2144,Hitech City,2023-09-28,02:45,07:57,312,Line Fault,33kV,Consumer Call,0
2145,Shamirpet,2024-01-16,17:30,20:21,171,Network Expansion,132kV,Social Media,1
2146,Abids,2024-04-05,01:00,01:44,44,Line Fault,33kV,TSECL Website,0
2147,Yapral,2024-03-01,20:30,21:15,45,Load Shedding,33kV,TSECL Website,0
2148,Begumpet,2024-05-02,18:00,01:36,456,Equipment Upgrade,11kV,TSECL Website,1
2149,Begumpet,2023-09-24,15:15,20:21,306,Network Expansion,11kV,TSECL Website,1
2150,Begumpet,2023-12-18,08:15,15:18,423,Equipment Upgrade,33kV,TSECL Website,1
2151,Charminar,2024-02-23,09:15,14:01,286,Load Shedding,11kV,TSECL Website,0
2152,LB Nagar,2024-02-17,13:45,14:39,54,Scheduled Maintenance,33kV,Telangana DISCOM App,1
2153,Vidyanagar,2023-12-16,18:45,23:00,255,Transformer Failure,11kV,Telangana DISCOM App,0
2154,Vanasthalipuram,2024-05-04,22:15,03:55,340,Transformer Failure,33kV,TSECL Website,0
2155,Sanath Nagar,2024-01-05,21:45,01:08,203,Line Fault,132kV,Telangana DISCOM App,0
2156,Lingampally,2023-12-13,13:30,16:48,198,Load Shedding,33kV,Telangana DISCOM App,0
2157,KPHB,2023-10-27,19:30,20:26,56,Line Fault,33kV,Telangana DISCOM App,0
2158,Gandipet,2023-09-18,12:15,16:46,271,Line Fault,33kV,TSECL Website,0
2159,Dilsukhnagar,2023-09-06,12:30,17:10,280,Transformer Failure,11kV,TSECL Website,0
2160,Habsiguda,2024-01-21,10:00,17:04,424,Equipment Upgrade,11kV,TSECL Website,1
2161,Nampally,2024-03-24,15:30,22:39,429,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2162,Tarnaka,2023-11-30,09:00,10:42,102,Network Expansion,11kV,Consumer Call,1
2163,Kondapur,2024-03-08,00:15,06:08,353,Grid Overload,11kV,Consumer Call,0
2164,Boduppal,2024-01-09,08:00,12:13,253,Equipment Upgrade,33kV,Telangana DISCOM App,1
2165,Nampally,2024-02-20,01:15,02:22,67,Line Fault,11kV,TSECL Website,0
2166,Yapral,2023-12-13,22:15,01:47,212,Load Shedding,11kV,Social Media,0
2167,Gandipet,2024-03-10,14:15,16:38,143,Equipment Upgrade,33kV,TSECL Website,1
2168,Sanath Nagar,2024-02-11,02:30,04:08,98,Load Shedding,11kV,Telangana DISCOM App,0
2169,Secunderabad,2023-11-04,12:00,15:44,224,Network Expansion,11kV,Telangana DISCOM App,1
2170,Lingampally,2024-03-20,15:00,20:40,340,Weather Damage,11kV,TSECL Website,0
2171,KPHB,2023-11-11,08:15,12:42,267,Load Shedding,132kV,TSECL Website,0
2172,As Rao Nagar,2023-11-22,15:30,16:38,68,Equipment Upgrade,132kV,Consumer Call,1
2173,Kukatpally,2024-02-29,10:00,12:18,138,Equipment Upgrade,11kV,TSECL Website,1
2174,Yapral,2024-01-20,23:45,00:56,71,Load Shedding,11kV,TSECL Website,0
2175,Shamshabad,2023-11-26,09:00,13:31,271,Equipment Upgrade,33kV,Consumer Call,1
2176,Hitech City,2024-03-02,14:30,19:06,276,Equipment Upgrade,11kV,TSECL Website,1
2177,Rajendra Nagar,2024-02-23,03:00,04:20,80,Grid Overload,33kV,Telangana DISCOM App,0
2178,KPHB,2023-11-22,19:45,20:33,48,Network Expansion,132kV,Telangana DISCOM App,1
2179,Ameerpet,2023-11-16,16:00,18:02,122,Equipment Upgrade,11kV,Telangana DISCOM App,1
2180,Nampally,2024-03-20,18:45,22:36,231,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2181,Banjara Hills,2024-06-11,12:30,14:09,99,Equipment Upgrade,11kV,TSECL Website,1
2182,Boduppal,2023-09-19,13:15,14:23,68,Network Expansion,11kV,Telangana DISCOM App,1
2183,Tarnaka,2023-12-15,05:00,09:18,258,Load Shedding,11kV,Telangana DISCOM App,0
2184,Jubilee Hills,2024-02-24,12:30,13:48,78,Transformer Failure,11kV,Social Media,0
2185,Gandipet,2023-12-01,06:15,11:38,323,Weather Damage,11kV,Social Media,0
2186,Banjara Hills,2024-01-19,17:30,20:33,183,Network Expansion,132kV,Consumer Call,1
2187,Quthbullapur,2024-01-15,14:30,15:38,68,Transformer Failure,11kV,TSECL Website,0
2188,Tarnaka,2024-02-28,11:30,16:42,312,Network Expansion,11kV,Telangana DISCOM App,1
2189,Bowenpally,2023-12-05,10:00,14:45,285,Equipment Upgrade,11kV,TSECL Website,1
2190,Gachibowli,2024-06-18,13:00,20:00,420,Network Expansion,33kV,TSECL Website,1
2191,Raidurg,2024-01-11,12:45,17:50,305,Line Fault,33kV,Telangana DISCOM App,0
2192,Punjagutta,2023-11-08,11:30,18:02,392,Network Expansion,11kV,Consumer Call,1
2193,Dilsukhnagar,2024-04-01,14:30,21:01,391,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2194,Himayatnagar,2024-06-01,08:30,09:56,86,Scheduled Maintenance,11kV,Social Media,1
2195,Raidurg,2023-11-20,16:15,20:55,280,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2196,Gachibowli,2024-05-05,11:15,13:42,147,Network Expansion,11kV,Telangana DISCOM App,1
2197,Manikonda,2023-09-27,02:30,03:54,84,Grid Overload,33kV,Consumer Call,0
2198,Shamshabad,2023-07-01,18:00,21:04,184,Network Expansion,11kV,Telangana DISCOM App,1
2199,Ameerpet,2024-02-29,12:15,15:21,186,Weather Damage,33kV,Consumer Call,0
2200,Shamshabad,2023-09-12,23:30,01:03,93,Grid Overload,132kV,Social Media,0
2201,Kothapet,2024-03-03,19:45,21:34,109,Equipment Upgrade,11kV,TSECL Website,1
2202,Dilsukhnagar,2024-02-27,05:00,09:12,252,Grid Overload,33kV,Telangana DISCOM App,0
2203,Gachibowli,2023-10-12,13:15,14:51,96,Network Expansion,33kV,Telangana DISCOM App,1
2204,Jubilee Hills,2023-09-02,19:15,02:49,454,Scheduled Maintenance,11kV,Consumer Call,1
2205,Sanath Nagar,2023-07-31,13:15,19:35,380,Equipment Upgrade,33kV,Consumer Call,1
2206,Hitech City,2023-10-09,00:15,04:09,234,Line Fault,11kV,Telangana DISCOM App,0
2207,Chandanagar,2024-06-29,14:15,16:10,115,Equipment Upgrade,11kV,Telangana DISCOM App,1
2208,LB Nagar,2024-04-27,11:00,12:34,94,Scheduled Maintenance,33kV,Consumer Call,1
2209,Serilingampally,2023-09-12,04:00,08:46,286,Weather Damage,11kV,TSECL Website,0
2210,Bowenpally,2024-06-02,13:30,20:22,412,Network Expansion,11kV,Telangana DISCOM App,1
2211,Manikonda,2024-05-24,14:15,15:27,72,Network Expansion,33kV,TSECL Website,1
2212,Khairatabad,2024-05-17,13:15,19:37,382,Network Expansion,11kV,Telangana DISCOM App,1
2213,Ameerpet,2023-09-18,15:30,20:57,327,Scheduled Maintenance,11kV,Telangana DISCOM App,1
2214,Vidyanagar,2024-02-21,07:00,09:31,151,Transformer Failure,132kV,Telangana DISCOM App,0
2215,Sanath Nagar,2024-04-16,16:45,00:32,467,Scheduled Maintenance,11kV,Consumer Call,1
2216,Quthbullapur,2023-07-05,11:00,15:57,297,Equipment Upgrade,33kV,TSECL Website,1
2217,Ameerpet,2023-09-07,14:00,21:42,462,Network Expansion,33kV,TSECL Website,1
